"StationID","SampleDepth","SampleDepthUnits","SampleType","QABatch","Matrix","LabCode","Species","Dilution","Concentration","ConcentrationUnits","EndPoint","LabRep","Value","ValueUnits","QACode","Comments"
"6449",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A",
"6449",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6449",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"95","PERCENT","A",
"6449",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"100","PERCENT","A",
"6482",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"95","PERCENT","A",
"6482",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6482",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"90","PERCENT","A",
"6482",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"95","PERCENT","A",
"6482",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A",
"6487",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A",
"6487",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"100","PERCENT","A",
"6487",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6487",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"95","PERCENT","A",
"6487",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"85","PERCENT","A",
"6489",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"75","PERCENT","A",
"6489",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"75","PERCENT","A",
"6489",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6489",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"80","PERCENT","A",
"6489",,,"RESULT","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"85","PERCENT","A",
"6419",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"95","PERCENT","A",
"6419",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6419",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6419",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"100","PERCENT","A",
"6419",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A",
"6443",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"95","PERCENT","A",
"6443",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
"6443",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A",
"6443",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"85","PERCENT","A",
"6443",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"95","PERCENT","A",
"6446",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A",
"6446",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"80","PERCENT","A",
"6446",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"100","PERCENT","A",
"6446",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"90","PERCENT","A",
"6446",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"95","PERCENT","A",
"6493",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"90","PERCENT","A",
"6493",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A",
"6493",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"100","PERCENT","A",
"6493",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"85","PERCENT","A",
"6493",,,"RESULT","B0808071batch3b.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"80","PERCENT","A",
"6432",,,"RESULT","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"85","PERCENT","A",
"6432",,,"RESULT","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A",
